,Car_Price,Car_Year,Car_Kms,Car_Model,Car_Fuel,Car_Location,Car_Company
6102,565000,2017,44329,Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
6103,510000,2015,48286,Maruti Suzuki Swift Dzire ZXI,Petrol,Mumbai,Maruti Suzuki
6104,749000,2018,24975,Honda WR-V S MT Petrol,Petrol,Mumbai,Honda
6105,699000,2017,16540,Maruti Suzuki Baleno Zeta 1.2 AT,Petrol,Mumbai,Maruti Suzuki
6106,425000,2016,10046,Honda Brio S MT,Petrol,Mumbai,Honda
6107,595000,2016,41280,Hyundai Xcent S AT 1.2 (O),Petrol,Mumbai,Hyundai
6108,215000,2016,2814,Tata Nano Twist XT,Petrol,Mumbai,Tata
6109,749000,2017,28771,Honda WR-V VX MT Petrol,Petrol,Mumbai,Honda
6110,265000,2010,24000,Maruti Suzuki Ritz VXI BS-IV,Petrol,Mumbai,Maruti Suzuki
6111,340000,2013,44380,Hyundai Grand i10 Sportz 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
6112,675000,2016,58000,Skoda Rapid Style 1.5 TDI AT,Diesel,Mumbai,Skoda
6113,685000,2016,69380,Honda City V Diesel,Diesel,Mumbai,Honda
6114,445000,2016,39500,Maruti Suzuki Celerio VXi AMT ABS,Petrol,Mumbai,Maruti Suzuki
6115,925000,2012,74460,BMW 3 Series 320d Prestige,Diesel,Mumbai,BMW
6116,4550000,2017,42442,Mercedes-Benz GLE 250 d,Diesel,Mumbai,Mercedes-Benz
6117,1900000,2021,3000,Mahindra Thar LX 4-STR Hard Top Petrol AT,Petrol,Mumbai,Mahindra
6118,1550000,2011,107000,Audi Q7 3.0 TDI quattro Premium Plus,Diesel,Mumbai,Audi
6119,1100000,2019,13000,Maruti Suzuki Vitara Brezza ZDi Plus AGS,Diesel,Mumbai,Maruti Suzuki
6120,1045000,2020,36000,Maruti Suzuki Vitara Brezza ZDi,Diesel,Mumbai,Maruti Suzuki
6121,475000,2017,33000,Tata Tiago Revotron XZA ,Petrol,Mumbai,Tata
6122,951000,2016,19511,Hyundai Creta 1.6 SX Plus Petrol,Petrol,Thane,Hyundai
6123,475000,2015,29390,Volkswagen Polo Highline1.2L (P),Petrol,Mumbai,Volkswagen
6124,365000,2016,22625,Renault Pulse RxL Petrol ,Petrol,Mumbai,Renault
6125,2585000,2015,26178,Audi Q3 35 TDI Premium + Sunroof,Diesel,Mumbai,Audi
6126,1258000,2011,66700,Mercedes-Benz C-Class 200 CGI Avantgarde,Petrol,Mumbai,Mercedes-Benz
6127,655000,2018,85000,Mahindra Bolero Power Plus SLE ,Diesel,Mumbai,Mahindra
6128,1030000,2015,156334,Toyota Innova 2.5 G BS IV 7 STR,Diesel,Thane,Toyota
6129,2075000,2015,23000,Audi Q3 2.0 TDI quattro Premium Plus,Diesel,Mumbai,Audi
6130,725000,2016,50667,Skoda Rapid 1.5 TDI CR Style Plus AT,Diesel,Thane,Skoda
6131,565000,2017,44329,Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
6132,510000,2015,48286,Maruti Suzuki Swift Dzire ZXI,Petrol,Mumbai,Maruti Suzuki
6133,749000,2018,24975,Honda WR-V S MT Petrol,Petrol,Mumbai,Honda
6134,1485000,2016,59758,Toyota Innova Crysta 2.4 G 7 STR ,Diesel,Mumbai,Toyota
6135,699000,2017,16540,Maruti Suzuki Baleno Zeta 1.2 AT,Petrol,Mumbai,Maruti Suzuki
6136,425000,2016,10046,Honda Brio S MT,Petrol,Mumbai,Honda
6137,595000,2016,41280,Hyundai Xcent S AT 1.2 (O),Petrol,Mumbai,Hyundai
6138,215000,2016,2814,Tata Nano Twist XT,Petrol,Mumbai,Tata
6139,749000,2017,28771,Honda WR-V VX MT Petrol,Petrol,Mumbai,Honda
6140,265000,2010,24000,Maruti Suzuki Ritz VXI BS-IV,Petrol,Mumbai,Maruti Suzuki
6141,340000,2013,44380,Hyundai Grand i10 Sportz 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
6142,675000,2016,58000,Skoda Rapid Style 1.5 TDI AT,Diesel,Mumbai,Skoda
